GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejercicioBaseDatos,servicios,NotasServicios,28,0,0,0,7,0,4,0,4,0
ejercicioBaseDatos,servicios,AsignaturasServicios,42,0,0,0,11,0,6,0,6,0
ejercicioBaseDatos,servicios,UsersServicios,149,0,10,0,40,0,10,0,5,0
ejercicioBaseDatos,servicios,AlumnosServicios,42,0,0,0,11,0,6,0,6,0
ejercicioBaseDatos,servicios,MailServicios,69,0,0,0,16,0,2,0,2,0
ejercicioBaseDatos,dao,AlumnosDAO,420,0,18,0,104,0,15,0,6,0
ejercicioBaseDatos,dao,NotasDAO,206,0,2,0,38,0,5,0,4,0
ejercicioBaseDatos,dao,DBConnection,87,0,4,0,28,0,9,0,7,0
ejercicioBaseDatos,dao,AsignaturasDAO,303,0,4,0,66,0,8,0,6,0
ejercicioBaseDatos,dao,UsersDAO,224,0,8,0,49,0,11,0,7,0
ejercicioBaseDatos,utils,PasswordHash,308,0,14,0,61,0,20,0,13,0
ejercicioBaseDatos,utils,Utils,29,0,2,0,8,0,3,0,2,0
ejercicioBaseDatos,utils,Constantes,3,0,0,0,1,0,1,0,1,0
ejercicioBaseDatos,servlets,Alumnos,198,0,30,0,43,0,23,0,5,0
ejercicioBaseDatos,servlets,Users,197,0,29,0,50,0,24,0,5,0
ejercicioBaseDatos,servlets,Asignaturas,174,0,28,0,37,0,22,0,5,0
ejercicioBaseDatos,servlets,Notas,199,0,28,0,47,0,21,0,5,0
ejercicioBaseDatos,model,Nota,24,0,0,0,11,0,7,0,7,0
ejercicioBaseDatos,model,User,54,0,0,0,23,0,15,0,15,0
ejercicioBaseDatos,model,Asignatura,31,0,0,0,14,0,9,0,9,0
ejercicioBaseDatos,model,Alumno,31,0,0,0,14,0,9,0,9,0
ejercicioBaseDatos,filtros,FiltroLogin,202,0,16,0,72,0,20,0,12,0
ejercicioBaseDatos,config,Configuration,114,0,2,0,44,0,26,0,25,0
ejercicioBaseDatos,config,ConfigListener,13,0,0,0,5,0,3,0,3,0
